country,tech,capacity_potential,source
BE,wind_offshore,5600,DLR
CZ,wind_offshore,0,DLR
DK,wind_offshore,125000,DLR
FR,wind_offshore,253000,DLR
DE,wind_offshore,72000,DLR
LU,wind_offshore,0,DLR
NL,wind_offshore,92000,DLR
NO,wind_offshore,386000,DLR
PL,wind_offshore,50000,DLR
SE,wind_offshore,223000,DLR
CH,wind_offshore,0,DLR
AT,wind_onshore,15000,DLR
BE,wind_onshore,3500,DLR
CZ,wind_onshore,14000,DLR
DK,wind_onshore,7500,DLR
FR,wind_onshore,109000,DLR
DE,wind_onshore,55000,DLR
LU,wind_onshore,300,DLR
NL,wind_onshore,5100,DLR
NO,wind_onshore,68000,DLR
PL,wind_onshore,59000,DLR
SE,wind_onshore,90000,DLR
CH,wind_onshore,7000,DLR
AL,wind_offshore,8464.13295651927,Brown & Schlachtberger
AT,wind_offshore,0,Brown & Schlachtberger
BA,wind_offshore,0,Brown & Schlachtberger
BE,wind_offshore,3902.17600052674,Brown & Schlachtberger
BG,wind_offshore,2730.87703187576,Brown & Schlachtberger
CH,wind_offshore,0,Brown & Schlachtberger
CZ,wind_offshore,0,Brown & Schlachtberger
DE,wind_offshore,54056.4129555132,Brown & Schlachtberger
DK,wind_offshore,106731.977939107,Brown & Schlachtberger
EE,wind_offshore,20260.1170450369,Brown & Schlachtberger
ES,wind_offshore,16168.5350859523,Brown & Schlachtberger
FI,wind_offshore,69842.9700390268,Brown & Schlachtberger
FR,wind_offshore,52440.7346120808,Brown & Schlachtberger
GB,wind_offshore,180446.507451373,Brown & Schlachtberger
GR,wind_offshore,42776.7669248819,Brown & Schlachtberger
HR,wind_offshore,18674.160291017,Brown & Schlachtberger
HU,wind_offshore,0,Brown & Schlachtberger
IE,wind_offshore,22268.6923412577,Brown & Schlachtberger
IT,wind_offshore,42004.716364026,Brown & Schlachtberger
LT,wind_offshore,4613.55480660524,Brown & Schlachtberger
LU,wind_offshore,0,Brown & Schlachtberger
LV,wind_offshore,17851.2780820742,Brown & Schlachtberger
ME,wind_offshore,3263.17164869425,Brown & Schlachtberger
MK,wind_offshore,0,Brown & Schlachtberger
NL,wind_offshore,97134.756853295,Brown & Schlachtberger
NO,wind_offshore,65256.9824210151,Brown & Schlachtberger
PL,wind_offshore,12772.9322258712,Brown & Schlachtberger
PT,wind_offshore,8100.28978216783,Brown & Schlachtberger
RO,wind_offshore,12769.4118953399,Brown & Schlachtberger
RS,wind_offshore,0,Brown & Schlachtberger
SE,wind_offshore,111678.574218829,Brown & Schlachtberger
SI,wind_offshore,0,Brown & Schlachtberger
SK,wind_offshore,0,Brown & Schlachtberger
AL,wind_onshore,16364.8145742268,Brown & Schlachtberger
AT,wind_onshore,52477.1679083899,Brown & Schlachtberger
BA,wind_onshore,50921.7184467028,Brown & Schlachtberger
BE,wind_onshore,24161.9951718009,Brown & Schlachtberger
BG,wind_onshore,56309.389010986,Brown & Schlachtberger
CH,wind_onshore,40009.1368410635,Brown & Schlachtberger
